1: /bopt:boolControlVC='False', /bopt:z3opt:SMT.MBQI='True', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='1000', /di='True', /staticInlining='True', /trackAllVars='True', /useArrayTheoryCheck='1', bit-precise='False', unroll='16'
2: /bopt:boolControlVC='False', /bopt:z3opt:SMT.MBQI='False', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='30084', /di='False', /staticInlining='True', /trackAllVars='True', /useArrayTheoryCheck='2', bit-precise='False', unroll='16'
3: /bopt:boolControlVC='False', /bopt:z3opt:SMT.MBQI='False', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='16511', /di='False', /staticInlining='True', /trackAllVars='False', /useArrayTheoryCheck='0', bit-precise='False', unroll='16'
4: /bopt:boolControlVC='True', /bopt:z3opt:SMT.MBQI='False', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='19796', /di='True', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='1', bit-precise='False', unroll='16'
5: /bopt:boolControlVC='True', /bopt:z3opt:SMT.MBQI='False', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='8007', /di='True', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='1', bit-precise='True', unroll='16'
6: /bopt:boolControlVC='True', /bopt:z3opt:SMT.MBQI='False', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='2554', /di='False', /staticInlining='True', /trackAllVars='False', /useArrayTheoryCheck='0', bit-precise='False', unroll='16'
7: /bopt:boolControlVC='True', /bopt:z3opt:SMT.MBQI='False', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='25908', /di='False', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='0', bit-precise='True', unroll='16'
8: /bopt:boolControlVC='False', /bopt:z3opt:SMT.MBQI='True', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='31960', /di='False', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='1', bit-precise='True', unroll='16'
9: /bopt:boolControlVC='True', /bopt:z3opt:SMT.MBQI='True', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='18652', /di='False', /staticInlining='True', /trackAllVars='False', /useArrayTheoryCheck='0', bit-precise='False', unroll='16'
10: /bopt:boolControlVC='True', /bopt:z3opt:SMT.MBQI='True', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='31008', /di='True', /staticInlining='False', /trackAllVars='True', /useArrayTheoryCheck='2', bit-precise='True', unroll='16'
11: /bopt:boolControlVC='True', /bopt:z3opt:SMT.MBQI='True', /bopt:z3opt:SMT.MBQI.MAX_ITERATIONS='28485', /di='False', /staticInlining='True', /trackAllVars='False', /useArrayTheoryCheck='0', bit-precise='False', unroll='16'
