1,2.0,1.0,0.0305328369140625,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
2,1.0,1.0,0.3968658447265625,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
3,2.0,1.0,0.7537078857421875,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
4,1.0,2.0,0.7108612060546875,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
5,2.0,2.0,0.3339080810546875,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0
6,2.0,2.0,0.2976837158203125,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
7,1.0,2.0,0.0682525634765625,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,2.0,0.8860015869140625,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
9,1.0,2.0,0.3774261474609375,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
10,2.0,2.0,0.5675201416015625,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
11,1.0,1.0,0.1089935302734375,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
12,2.0,2.0,0.6500091552734375,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0
13,1.0,2.0,0.5072784423828125,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0
14,2.0,1.0,0.5181732177734375,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0
15,2.0,2.0,0.4525909423828125,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
16,1.0,2.0,0.7002410888671875,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0
